X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
10.5796100,43.0467500,1,50,0,0
9.8797200,44.1626400,1,50,0,0
9.8999200,44.3599700,1,50,0,0
9.9293300,44.1400000,1,50,0,0
9.9487800,44.2895800,1,50,0,0
9.9889400,44.0696700,1,70,0,0
10.0951400,44.0743900,1,50,0,0
10.0989200,44.0816100,1,50,0,0
10.4780800,43.5587200,1,50,0,0
10.4426400,45.5870800,2,,0,0
10.4960600,43.3979200,1,50,0,0
10.5027800,43.3758300,1,50,0,0
10.4706900,43.6150000,1,70,0,0
10.5060600,43.7055800,1,50,0,0
10.5725800,43.6816100,1,60,0,0
10.6677200,43.6633600,1,50,0,0
10.6836400,43.6615800,1,50,0,0
10.7040800,43.8567500,1,70,0,0
11.1044400,43.6725600,1,50,0,0
11.0234400,43.8381400,1,50,0,0
11.0281400,43.8054700,1,50,0,0
11.0590600,43.8798600,1,70,0,0
11.0691700,43.8880600,1,70,0,0
11.0725300,43.8124700,1,50,0,0
10.9950000,43.8950800,1,130,0,0
11.0741100,43.8768100,1,70,0,0
11.0907200,43.8091900,1,50,0,0
11.1056900,43.8551700,1,130,0,0
11.1302800,43.8290300,1,50,0,0
9.2311100,45.5477800,1,70,0,0
10.8231700,43.8900600,1,100,0,0
10.8275600,43.8987800,1,130,0,0
10.9267800,43.9129200,1,130,0,0
11.7755600,43.2452800,1,130,0,0
12.0137200,42.4918100,1,70,0,0
12.0530000,42.5142500,1,50,0,0
12.1263900,42.1322200,2,,0,0
11.8658300,43.1343100,1,130,0,0
11.1411400,43.5773100,1,50,0,0
11.1751700,43.5460600,1,50,0,0
11.2500800,43.4877500,1,50,0,0
11.3148600,43.5366400,1,50,0,0
11.3168600,43.5775800,1,50,0,0
11.4626400,43.5327500,1,50,0,0
11.4936700,43.5734700,1,50,0,0
11.1541700,43.6736100,1,50,0,0
11.1639200,43.6098600,1,50,0,0
11.1660800,43.6919700,1,50,0,0
11.1930800,43.6771400,1,50,0,0
11.2154200,43.6755000,1,50,0,0
11.2199700,43.6956100,1,50,0,0
11.2455600,43.7233600,1,50,0,0
11.2513900,43.6588300,1,50,0,0
11.2586900,43.6531400,1,50,0,0
11.2818100,43.6251700,1,50,0,0
11.2925800,43.6677200,1,50,0,0
11.3053600,43.6058100,1,50,0,0
11.1365300,43.8120000,1,50,0,0
11.1617500,43.7933900,1,50,0,0
11.1816400,43.7473100,1,50,0,0
11.0958300,43.7713600,2,,0,0
11.2139700,43.7981900,1,50,0,0
11.2150000,43.7980800,1,50,0,0
11.1411100,43.8271100,1,50,0,0
11.1579200,43.8641100,1,40,0,0
11.1829200,43.8362500,1,50,0,0
11.1904200,43.8317200,1,50,0,0
11.2083100,43.8336700,1,50,0,0
11.2217200,43.8188600,1,50,0,0
11.2410800,43.7635000,1,50,0,0
11.2410300,43.7639200,1,50,0,0
11.2930600,43.7670800,1,50,0,0
11.3120800,43.7649400,1,50,0,0
11.3129200,43.7465800,1,60,0,0
